0.630511,0x0002
0.268887,0x0004
0.377014,0x0002
0.209476,0x0004
0.385998,0x0002
0.21694,0x0004
0.350062,0x0002
0.267926,0x0004
0.811974,0x0002
1.56785,0x0004
0.973967,0x0002
0.643005,0x0004
0.975956,0x0002
0.731934,0x0004
0.824065,0x0002
0.691847,0x0004
0.909024,0x0002
0.146836,0x0004
0.418015,0x0002
0.143888,0x0004
0.55699,0x0002
0.215086,0x0004
0.29289,0x0002
0.393915,0x0004
0.236015,0x0002
0.437871,0x0004
0.283953,0x0002
0.401933,0x0004
0.710991,0x0002
0.485997,0x0004
0.285987,0x0002
0.573887,0x0004
0.258992,0x0002
0.474884,0x0004
0.23398,0x0002
0.414912,0x0004
0.211014,0x0002
0.416916,0x0004
